NAME,B01001_001E,B19013_001E,B25001_001E,B25003_001E,B25003_002E,B25077_001E,B25034_001E,B25034_006E,B25034_011E,B08303_001E,B08303_012E,B08303_013E,B08201_001E,B08201_002E,B17001_001E,B17001_002E,state,county,tract,population_total,population_total_moe,median_household_income,median_household_income_moe,housing_units_total,housing_units_total_moe,occupied_units_total,occupied_units_total_moe,owner_occupied_units,owner_occupied_units_moe,median_home_value,median_home_value_moe,housing_built_total,housing_built_total_moe,housing_built_1980_1989,housing_built_1980_1989_moe,housing_built_1979_earlier,housing_built_1979_earlier_moe,workers_commute_total,workers_commute_total_moe,workers_commute_60_89,workers_commute_60_89_moe,workers_commute_90_plus,workers_commute_90_plus_moe,households_vehicle_total,households_vehicle_total_moe,households_no_vehicle,households_no_vehicle_moe,poverty_universe,poverty_universe_moe,poverty_count,poverty_count_moe,GEOID,homeownership_rate,long_commute_share,poverty_rate,no_vehicle_share,old_housing_share,income_per_housing_unit,commute_stress_index,housing_risk_proxy,income_moe_ratio,poor_quality_income,opportunity_score,risk_score
Census Tract 101; Cook County; Illinois,4198,74145,2905,2284,688,340700,2905,0,1603,1955,311,0,2284,695,4097,545,17,031,010100,4198,4198,74145,74145,2905,2905,2284,2284,688,688,340700,340700,2905,2905,0,0,1603,1603,1955,1955,311,311,0,0,2284,2284,695,695,4097,4097,545,545,17031010100,0.30122591943957966,0.15907928388746803,0.13302416402245545,0.3042907180385289,0.5518072289156627,25.523235800344235,0.04840634951917263,0.3855885890321356,1.0,True,0.7074744469824973,0.3776600154819513
Census Tract 629; Cook County; Illinois,4232,169906,2036,2036,981,697600,2036,92,792,1890,123,17,2036,505,4232,182,17,031,062900,4232,4232,169906,169906,2036,2036,2036,2036,981,981,697600,697600,2036,2036,92,92,792,792,1890,1890,123,123,17,17,2036,2036,505,505,4232,4232,182,182,17031062900,0.4818271119842829,0.07407407407407407,0.04300567107750473,0.2480353634577603,0.43418467583497056,83.450884086444,0.018372989885760024,0.2249827274095746,1.0,True,0.8079955958925972,0.25317349384690324
Census Tract 630; Cook County; Illinois,3062,102040,2071,1800,512,604500,2071,116,711,1553,115,12,1800,736,3051,228,17,031,063000,3062,3062,102040,102040,2071,2071,1800,1800,512,512,604500,604500,2071,2071,116,116,711,711,1553,1553,115,115,12,12,1800,1800,736,736,3051,3051,228,228,17031063000,0.28444444444444444,0.08177720540888603,0.07472959685349066,0.4088888888888889,0.3993239980685659,49.27088363109609,0.03343779065607785,0.28573850528461825,1.0,True,0.72797465676766,0.3099111492422051
Census Tract 631; Cook County; Illinois,2336,94948,1477,1395,346,577900,1477,40,480,1178,52,0,1395,881,2336,164,17,031,063100,2336,2336,94948,94948,1477,1477,1395,1395,346,346,577900,577900,1477,1477,40,40,480,480,1178,1178,52,52,0,0,1395,1395,881,881,2336,2336,164,164,17031063100,0.24802867383512545,0.044142614601018676,0.0702054794520548,0.6315412186379928,0.35206499661475965,64.28436018957346,0.027877880618994592,0.2647427824006329,1.0,True,0.7178565424174033,0.34782975321186793
Census Tract 632; Cook County; Illinois,6806,79782,5036,4821,1692,352200,5036,494,802,3177,202,32,4821,2519,6722,175,17,031,063200,6806,6806,79782,79782,5036,5036,4821,4821,1692,1692,352200,352200,5036,5036,494,494,802,802,3177,3177,202,202,32,32,4821,4821,2519,2519,6722,6722,175,175,17031063200,0.3509645301804605,0.07365439093484419,0.026033918476643856,0.5225057042107446,0.25734710087370927,15.842335186656076,0.038484839403624245,0.16702739652226434,1.0,True,0.771922591193,0.28651519681540805
Census Tract 633.01; Cook County; Illinois,2898,66901,2137,2045,243,276000,2137,251,841,1315,199,0,2045,1269,2898,623,17,031,063301,2898,2898,66901,66901,2137,2137,2045,2045,243,243,276000,276000,2137,2137,251,251,841,841,1315,1315,199,199,0,0,2045,2045,1269,1269,2898,2898,623,623,17031063301,0.11882640586797066,0.15133079847908745,0.21497584541062803,0.6205378973105135,0.5109967243799719,31.306036499766027,0.09390649548653397,0.4502768202115938,1.0,True,0.6100070670250669,0.4918234944196136
Census Tract 633.02; Cook County; Illinois,4358,98219,3232,2950,828,491400,3232,125,1035,1994,354,51,2950,1694,4358,230,17,031,063302,4358,4358,98219,98219,3232,3232,2950,2950,828,828,491400,491400,3232,3232,125,125,1035,1035,1994,1994,354,354,51,51,2950,2950,1694,1694,4358,4358,230,230,17031063302,0.28067796610169493,0.20310932798395184,0.05277650298301973,0.5742372881355933,0.3589108910891089,30.38954207920792,0.11663294969654728,0.25817251216647086,1.0,True,0.7365387306606563,0.4065167037131516
Census Tract 633.03; Cook County; Illinois,1315,107639,1054,938,511,317900,1054,123,44,415,59,18,938,427,1295,126,17,031,063303,1315,1315,107639,107639,1054,1054,938,938,511,511,317900,317900,1054,1054,123,123,44,44,415,415,59,59,18,18,938,938,427,427,1295,1295,126,126,17031063303,0.5447761194029851,0.1855421686746988,0.0972972972972973,0.4552238805970149,0.15844402277039848,102.12428842504744,0.08446322603848229,0.07212750290294259,1.0,True,0.8046582382212523,0.31826288614825404
Census Tract 634; Cook County; Illinois,2244,86979,1449,1378,330,640600,1449,94,543,1025,100,0,1378,636,2244,196,17,031,063400,2244,2244,86979,86979,1449,1449,1378,1378,330,330,640600,640600,1449,1449,94,94,543,543,1025,1025,100,100,0,0,1378,1378,636,636,2244,2244,196,196,17031063400,0.23947750362844702,0.0975609756097561,0.0873440285204991,0.46153846153846156,0.4396135265700483,60.02691511387164,0.045028142589118206,0.3343359766657552,1.0,True,0.7073346461589036,0.3504004511662163
Census Tract 701.01; Cook County; Illinois,4003,83614,2976,2645,1004,490100,2976,95,964,1522,88,37,2645,1353,4003,485,17,031,070101,4003,4003,83614,83614,2976,2976,2645,2645,1004,1004,490100,490100,2976,2976,95,95,964,964,1522,1522,88,88,37,37,2645,2645,1353,1353,4003,4003,485,485,17031070101,0.3795841209829868,0.0821287779237845,0.12115913065201099,0.511531190926276,0.3558467741935484,28.096102150537636,0.04201143158067312,0.22077298920665894,1.0,True,0.7389068136131539,0.3466588466468329
Census Tract 701.02; Cook County; Illinois,2960,110577,2159,1856,688,744300,2159,369,455,1753,139,18,1856,699,2880,126,17,031,070102,2960,2960,110577,110577,2159,2159,1856,1856,688,688,744300,744300,2159,2159,369,369,455,455,1753,1753,139,139,18,18,1856,1856,699,699,2880,2880,126,126,17031070102,0.3706896551724138,0.08956075299486595,0.04375,0.3766163793103448,0.38165817508105604,51.216767021769336,0.033730046521234534,0.24018143776652665,1.0,True,0.7705871222666296,0.2881583874978006
Census Tract 701.03; Cook County; Illinois,1489,73581,1263,1160,82,-666666666,1263,134,310,793,32,11,1160,729,1489,138,17,031,070103,1489,1489,73581,73581,1263,1263,1160,1160,82,82,-666666666,-666666666,1263,1263,134,134,310,310,793,793,32,32,11,11,1160,1160,729,729,1489,1489,138,138,17031070103,0.0706896551724138,0.05422446406052964,0.09267965077233042,0.628448275862069,0.3515439429928741,58.25890736342043,0.03407727094838457,0.32669342288475717,1.0,True,0.648678258209106,0.3593720508980148
Census Tract 702; Cook County; Illinois,4035,109000,2298,2132,629,704300,2298,211,725,1910,163,0,2132,749,3900,452,17,031,070200,4035,4035,109000,109000,2298,2298,2132,2132,629,629,704300,704300,2298,2298,211,211,725,725,1910,1910,163,163,0,0,2132,2132,749,749,3900,3900,452,452,17031070200,0.2950281425891182,0.08534031413612565,0.1158974358974359,0.351313320825516,0.4073107049608355,47.4325500435161,0.029981189159455027,0.2871425842195759,1.0,True,0.7130881770078142,0.30919965411233763
Census Tract 703; Cook County; Illinois,3711,156898,1958,1683,650,633900,1958,214,562,1862,35,161,1683,563,3566,419,17,031,070300,3711,3711,156898,156898,1958,1958,1683,1683,650,650,633900,633900,1958,1958,214,214,562,562,1862,1862,35,35,161,161,1683,1683,563,563,3566,3566,419,419,17031070300,0.38621509209744503,0.10526315789473684,0.11749859786876052,0.3345216874628639,0.39632277834525026,80.1317671092952,0.035212809206617256,0.24325694000632417,1.0,True,0.7427914316336932,0.31142561283373993
Census Tract 704; Cook County; Illinois,3433,192955,1668,1558,716,809500,1668,149,363,1207,51,19,1558,504,3433,525,17,031,070400,3433,3433,192955,192955,1668,1668,1558,1558,716,716,809500,809500,1668,1668,149,149,363,363,1207,1207,51,51,19,19,1558,1558,504,504,3433,3433,525,525,17031070400,0.4595635430038511,0.0579950289975145,0.1529274686862802,0.32349165596919127,0.3069544364508393,115.68045563549161,0.018760907968387232,0.1658893680947411,1.0,True,0.7514086052667924,0.27074202406906345
Census Tract 705; Cook County; Illinois,3238,207076,1475,1395,779,840600,1475,108,541,1275,123,10,1395,288,3026,147,17,031,070500,3238,3238,207076,207076,1475,1475,1395,1395,779,779,840600,840600,1475,1475,108,108,541,541,1275,1275,123,123,10,10,1395,1395,288,288,3026,3026,147,147,17031070500,0.5584229390681004,0.10431372549019607,0.04857898215465962,0.2064516129032258,0.44,140.39050847457628,0.02153573687539532,0.19429390681003583,1.0,True,0.8310527026544262,0.25868195963678453
Census Tract 706; Cook County; Illinois,3477,249531,1442,1377,883,838100,1442,223,290,1332,126,19,1377,98,3477,218,17,031,070600,3477,3477,249531,249531,1442,1442,1377,1377,883,883,838100,838100,1442,1442,223,223,290,290,1332,1332,126,126,19,19,1377,1377,98,98,3477,3477,218,218,17031070600,0.6412490922294843,0.10885885885885886,0.0626977279263733,0.07116920842411038,0.35575589459084606,173.04507628294036,0.007747398814936942,0.1276277501291779,1.0,True,0.8523661302707571,0.19864091736585815
Census Tract 707; Cook County; Illinois,3787,143955,2315,1880,995,631400,2315,57,830,1512,185,72,1880,338,3787,336,17,031,070700,3787,3787,143955,143955,2315,2315,1880,1880,995,995,631400,631400,2315,2315,57,57,830,830,1512,1512,185,185,72,72,1880,1880,338,338,3787,3787,336,336,17031070700,0.5292553191489362,0.16997354497354497,0.08872458410351201,0.1797872340425532,0.3831533477321814,62.183585313174945,0.03055907351120117,0.1803674003952024,1.0,True,0.803338089324867,0.28121737060537455
Census Tract 710; Cook County; Illinois,4159,179438,1076,1069,591,1010200,1076,30,656,1166,98,5,1069,291,2373,180,17,031,071000,4159,4159,179438,179438,1076,1076,1069,1069,591,591,1010200,1010200,1076,1076,30,30,656,656,1166,1166,98,98,5,5,1069,1069,291,291,2373,2373,180,180,17031071000,0.5528531337698784,0.08833619210977701,0.07585335018963338,0.2722170252572498,0.637546468401487,166.76394052044608,0.02404661543867644,0.28507690542180614,1.0,True,0.8169801544153564,0.33592478141168686
Census Tract 711; Cook County; Illinois,2979,204609,1268,1046,434,1556900,1268,32,842,1335,38,0,1046,410,2525,308,17,031,071100,2979,2979,204609,204609,1268,1268,1046,1046,434,434,1556900,1556900,1268,1268,32,32,842,842,1335,1335,38,38,0,0,1046,1046,410,410,2525,2525,308,308,17031071100,0.4149139579349904,0.02846441947565543,0.12198019801980198,0.3919694072657744,0.6892744479495269,161.36356466876973,0.011157181630037023,0.40328485864733316,1.0,True,0.7503765678438561,0.37388474431369634
Census Tract 712; Cook County; Illinois,2775,131383,1541,1402,413,952300,1541,110,360,1141,88,42,1402,464,2775,314,17,031,071200,2775,2775,131383,131383,1541,1541,1402,1402,413,413,952300,952300,1541,1541,110,110,360,360,1141,1141,88,88,42,42,1402,1402,464,464,2775,2775,314,314,17031071200,0.29457917261055633,0.11393514460999124,0.11315315315315315,0.3309557774607703,0.30499675535366644,85.25827384815055,0.03770749436450495,0.21515106351267912,1.0,True,0.7141774575331062,0.287799778553042
Census Tract 713; Cook County; Illinois,4123,129486,2279,2193,1289,494100,2279,244,1101,1707,23,18,2193,594,4123,415,17,031,071300,4123,4123,129486,129486,2279,2279,2193,2193,1289,1289,494100,494100,2279,2279,244,244,1101,1101,1707,1707,23,23,18,18,2193,2193,594,594,4123,4123,415,415,17031071300,0.5877792977656179,0.02401874633860574,0.10065486296386127,0.2708618331053352,0.5901711276875823,56.81702501096972,0.006505761662166809,0.24328075669383237,1.0,True,0.8175014271896498,0.2977952630332482
Census Tract 714; Cook County; Illinois,4448,113581,3237,2830,1348,491700,3237,323,1663,1819,120,45,2830,1022,4448,740,17,031,071400,4448,4448,113581,113581,3237,3237,2830,2830,1348,1348,491700,491700,3237,3237,323,323,1663,1663,1819,1819,120,120,45,45,2830,2830,1022,1022,4448,4448,740,740,17031071400,0.4763250883392226,0.09070918086860913,0.16636690647482014,0.36113074204947,0.6135310472659871,35.088353413654616,0.032757873797780404,0.32129081697816003,1.0,True,0.750943517216304,0.38949016444947754
Census Tract 715; Cook County; Illinois,5482,119024,4262,3729,1257,401600,4262,724,1105,2847,139,17,3729,1353,5482,57,17,031,071500,5482,5482,119024,119024,4262,4262,3729,3729,1257,1257,401600,401600,4262,4262,724,724,1105,1105,2847,2847,139,139,17,17,3729,3729,1353,1353,5482,5482,57,57,17031071500,0.337087691069992,0.0547945205479452,0.010397665085735133,0.36283185840707965,0.4291412482402628,27.926794931956827,0.01988119772093587,0.28448301572805834,1.0,True,0.7743120110103986,0.26801174782630527
Census Tract 716; Cook County; Illinois,1783,204375,764,706,461,1140400,764,116,260,631,9,0,706,78,1783,58,17,031,071600,1783,1783,204375,204375,764,764,706,706,461,461,1140400,1140400,764,764,116,116,260,260,631,631,9,9,0,0,706,706,78,78,1783,1783,58,58,17031071600,0.6529745042492918,0.014263074484944533,0.03252944475602917,0.11048158640226628,0.49214659685863876,267.5065445026178,0.0015758070960703592,0.17078741675689305,1.0,True,0.8697488571705922,0.1909285565439572
Census Tract 717; Cook County; Illinois,1656,202500,758,696,395,948100,758,179,301,564,61,0,696,100,1655,133,17,031,071700,1656,1656,202500,202500,758,758,696,696,395,395,948100,948100,758,758,179,179,301,301,564,564,61,61,0,0,696,696,100,100,1655,1655,133,133,17031071700,0.5675287356321839,0.10815602836879433,0.08036253776435046,0.14367816091954022,0.633245382585752,267.1503957783641,0.015539659248389988,0.27386043126194165,1.0,True,0.8198662072314699,0.3048988260021836
Census Tract 718; Cook County; Illinois,2860,241228,1209,1175,675,903900,1209,293,189,1334,105,0,1175,199,2860,95,17,031,071800,2860,2860,241228,241228,1209,1209,1175,1175,675,675,903900,903900,1209,1209,293,293,189,189,1334,1334,105,105,0,0,1175,1175,199,199,2860,2860,95,95,17031071800,0.574468085106383,0.07871064467766117,0.033216783216783216,0.16936170212765958,0.3986765922249793,199.5268817204301,0.013330568758174106,0.16964961371275714,1.0,True,0.8432909657293628,0.21699055529870664
Census Tract 801; Cook County; Illinois,6387,105000,5024,4496,2396,575900,5024,232,833,2377,57,67,4496,1997,6387,695,17,031,080100,6387,6387,105000,105000,5024,5024,4496,4496,2396,2396,575900,575900,5024,5024,232,232,833,833,2377,2377,57,57,67,67,4496,4496,1997,1997,6387,6387,695,695,17031080100,0.5329181494661922,0.052166596550273454,0.10881478002191952,0.4441725978647687,0.2119824840764331,20.89968152866242,0.02317097271149824,0.09901317094317381,1.0,True,0.7955515179913283,0.26542768364095415
Census Tract 802.01; Cook County; Illinois,3446,120409,2675,2396,1538,256300,2675,268,199,1316,49,0,2396,968,3446,117,17,031,080201,3446,3446,120409,120409,2675,2675,2396,2396,1538,1538,256300,256300,2675,2675,268,268,199,199,1316,1316,49,49,0,0,2396,2396,968,968,3446,3446,117,117,17031080201,0.6419031719532554,0.03723404255319149,0.033952408589669185,0.4040066777963272,0.17457943925233646,45.01271028037383,0.01504280183284197,0.06251634343844102,1.0,True,0.8653798336822386,0.20931617711462033
Census Tract 802.02; Cook County; Illinois,3987,106071,3072,2958,1177,360800,3072,235,697,2256,31,68,2958,1748,3987,390,17,031,080202,3987,3987,106071,106071,3072,3072,2958,2958,1177,1177,360800,360800,3072,3072,235,235,697,697,2256,2256,31,31,68,68,2958,2958,1748,1748,3987,3987,390,390,17031080202,0.39790398918187964,0.043882978723404256,0.09781790820165538,0.5909398242055443,0.3033854166666667,34.5283203125,0.02593219973242415,0.1826671491153933,1.0,True,0.7554671644655627,0.33030695600034954
Census Tract 803; Cook County; Illinois,6101,151830,3715,3479,1359,557200,3715,618,408,2821,267,59,3479,1316,6101,517,17,031,080300,6101,6101,151830,151830,3715,3715,3479,3479,1359,1359,557200,557200,3715,3715,618,618,408,408,2821,2821,267,267,59,59,3479,3479,1316,1316,6101,6101,517,517,17031080300,0.39062949123311297,0.11556185749734137,0.08474020652352074,0.3782696177062374,0.2761776581426649,40.869448183041726,0.043713539656942,0.16829452005244308,1.0,True,0.7589159652747531,0.2863259525169759
Census Tract 804; Cook County; Illinois,5415,68270,2237,2211,904,700400,2237,24,399,2107,249,216,2211,830,5383,1508,17,031,080400,5415,5415,68270,68270,2237,2237,2211,2211,904,904,700400,700400,2237,2237,24,24,399,399,2107,2107,249,249,216,216,2211,2211,830,830,5383,5383,1508,1508,17031080400,0.4088647670737223,0.22069292833412435,0.28014118521270664,0.3753957485300769,0.1890925346446133,30.51855163164953,0.08284718702728323,0.11177925951176372,1.0,True,0.677533234519965,0.38034280114204966
Census Tract 810; Cook County; Illinois,8264,79465,6263,5561,698,741300,6263,866,1216,4363,226,45,5561,3660,6962,998,17,031,081000,8264,8264,79465,79465,6263,6263,5561,5561,698,698,741300,741300,6263,6263,866,866,1216,1216,4363,4363,226,226,45,45,5561,5561,3660,3660,6962,6962,998,998,17031081000,0.12551699334652042,0.06211322484528994,0.14334961218040793,0.6581550080920697,0.3324285486188727,12.688008941401884,0.04088013000067634,0.2907031166936842,1.0,True,0.6442880173015308,0.384653737079505
Census Tract 811; Cook County; Illinois,3984,79561,3052,2902,512,398000,3052,959,611,2066,39,84,2902,1618,3984,658,17,031,081100,3984,3984,79561,79561,3052,3052,2902,2902,512,512,398000,398000,3052,3052,959,959,611,611,2066,2066,39,39,84,84,2902,2902,1618,1618,3984,3984,658,658,17031081100,0.17643004824259131,0.05953533397870281,0.16516064257028112,0.5575465196416265,0.5144167758846658,26.06847968545216,0.03319371825552762,0.42365819929853593,1.0,True,0.6515011641401123,0.40891097098235707
Census Tract 812.01; Cook County; Illinois,4442,122659,3866,2933,1338,697600,3866,646,291,1825,36,38,2933,1644,4332,302,17,031,081201,4442,4442,122659,122659,3866,3866,2933,2933,1338,1338,697600,697600,3866,3866,646,646,291,291,1825,1825,36,36,38,38,2933,2933,1644,1644,4332,4332,302,302,17031081201,0.45618820320490966,0.040547945205479455,0.06971375807940905,0.5605182407091714,0.24236937403000516,31.727625452664252,0.02272786291094723,0.13180332477935844,1.0,True,0.7874768910906371,0.2923661157516094
Census Tract 812.02; Cook County; Illinois,3501,154569,2511,2113,1431,801100,2511,163,1210,1384,33,20,2113,539,3501,203,17,031,081202,3501,3501,154569,154569,2511,2511,2113,2113,1431,1431,801100,801100,2511,2511,163,163,1210,1210,1384,1384,33,33,20,20,2113,2113,539,539,3501,3501,203,203,17031081202,0.6772361571225746,0.03829479768786127,0.057983433304770064,0.25508755324183624,0.5467941059338909,61.556750298685785,0.00976852624408766,0.17648536689394867,1.0,True,0.8664234582532737,0.2735898063411934
Census Tract 813; Cook County; Illinois,5704,108625,4273,3838,1978,481800,4273,84,730,2455,221,25,3838,1850,5704,434,17,031,081300,5704,5704,108625,108625,4273,4273,3838,3838,1978,1978,481800,481800,4273,4273,84,84,730,730,2455,2455,221,221,25,25,3838,3838,1850,1850,5704,5704,434,434,17031081300,0.515372589890568,0.10020366598778004,0.07608695652173914,0.4820218863991662,0.19049847882050083,25.42124970746548,0.048300360103541704,0.09232078442056581,1.0,True,0.804346734682357,0.2851767764282099
Census Tract 814.01; Cook County; Illinois,2503,83292,1808,1609,619,456100,1808,621,379,962,39,0,1609,848,2457,271,17,031,081401,2503,2503,83292,83292,1808,1808,1609,1609,619,619,456100,456100,1808,1808,621,621,379,379,962,962,39,39,0,0,1609,1609,848,848,2457,2457,271,271,17031081401,0.38471100062150404,0.04054054054054054,0.1102971102971103,0.5270354257302673,0.5530973451327433,46.06858407079646,0.021366301043118947,0.3403147120456283,1.0,True,0.7454751133517892,0.381746887602061
Census Tract 814.02; Cook County; Illinois,6687,170333,4581,3950,1198,636300,4581,486,188,3379,83,30,3950,1478,6687,140,17,031,081402,6687,6687,170333,170333,4581,4581,3950,3950,1198,1198,636300,636300,4581,4581,486,486,188,188,3379,3379,83,83,30,30,3950,3950,1478,1478,6687,6687,140,140,17031081402,0.3032911392405063,0.03344184670020716,0.020936144758486618,0.3741772151898734,0.14712944771883868,37.18249290547915,0.012513177069090173,0.10250638990436559,1.0,True,0.758357384941927,0.18574673184620494
Census Tract 814.03; Cook County; Illinois,10291,110327,7573,7077,1444,854700,7573,1123,126,4741,103,0,7077,4044,10291,884,17,031,081403,10291,10291,110327,110327,7573,7573,7077,7077,1444,1444,854700,854700,7573,7573,1123,1123,126,126,4741,4741,103,103,0,0,7077,7077,4044,4044,10291,10291,884,884,17031081403,0.2040412604210824,0.021725374393587852,0.08590030123408804,0.5714285714285714,0.16492803380430476,14.568466921959594,0.012414499653478772,0.13127590990810353,1.0,True,0.6961801360904185,0.27013790006641175
Census Tract 815; Cook County; Illinois,5237,134320,4479,3608,1883,674300,4479,725,0,2999,166,154,3608,1381,5206,569,17,031,081500,5237,5237,134320,134320,4479,4479,3608,3608,1883,1883,674300,674300,4479,4479,725,725,0,0,2999,2999,166,166,154,154,3608,3608,1381,1381,5206,5206,569,569,17031081500,0.5218957871396895,0.10670223407802601,0.10929696504033808,0.38276053215077604,0.1618664880553695,29.988836793927216,0.0408414038973819,0.07738904986017528,1.0,True,0.7916763295613715,0.25964781320507896
Census Tract 816; Cook County; Illinois,4553,145500,3636,2976,787,416700,3636,263,13,2217,29,0,2976,1831,4553,175,17,031,081600,4553,4553,145500,145500,3636,3636,2976,2976,787,787,416700,416700,3636,3636,263,263,13,13,2217,2217,29,29,0,0,2976,2976,1831,1831,4553,4553,175,175,17031081600,0.2644489247311828,0.013080739738385205,0.038436195914781465,0.615255376344086,0.07590759075907591,40.01650165016502,0.00804799545059923,0.05583391000390362,1.0,True,0.737568314604164,0.2391350479792702
Census Tract 817; Cook County; Illinois,5161,142821,4251,3867,901,477600,4251,696,132,2812,46,162,3867,2488,5161,391,17,031,081700,5161,5161,142821,142821,4251,4251,3867,3867,901,901,477600,477600,4251,4251,696,696,132,132,2812,2812,46,46,162,162,3867,3867,2488,2488,5161,5161,391,391,17031081700,0.2329971554176364,0.07396870554765292,0.0757605115287735,0.643392810964572,0.19477769936485534,33.597035991531406,0.04759093338571514,0.14939504947405247,1.0,True,0.7103847279163137,0.32491517700844963
Census Tract 818; Cook County; Illinois,13521,147354,8687,8462,3867,539800,8687,68,1941,6812,440,53,8462,2886,13521,1076,17,031,081800,13521,13521,147354,147354,8687,8687,8462,8462,3867,3867,539800,539800,8687,8687,68,68,1941,1941,6812,6812,440,440,53,53,8462,8462,2886,2886,13521,13521,1076,1076,17031081800,0.4569841645001182,0.07237228420434527,0.0795799127283485,0.3410541243204916,0.23126510878323933,16.962587774835963,0.024682866014386722,0.12558061626790173,1.0,True,0.7833405885908494,0.2380442915098635
Census Tract 819; Cook County; Illinois,1326,225694,936,741,308,486900,936,0,38,777,54,0,741,161,1298,117,17,031,081900,1326,1326,225694,225694,936,936,741,741,308,308,486900,486900,936,936,0,0,38,38,777,777,54,54,0,0,741,741,161,161,1298,1298,117,117,17031081900,0.4156545209176788,0.0694980694980695,0.0901386748844376,0.21727395411605938,0.0405982905982906,241.1260683760684,0.015100120363278258,0.02372342756958142,1.0,True,0.7648793683006333,0.1470844756791081
Census Tract 901; Cook County; Illinois,3567,140194,1490,1439,1274,445600,1490,11,74,1638,162,12,1439,32,3567,411,17,031,090100,3567,3567,140194,140194,1490,1490,1439,1439,1274,1274,445600,445600,1490,1490,11,11,74,74,1638,1638,162,162,12,12,1439,1439,32,32,3567,3567,411,411,17031090100,0.8853370396108409,0.10622710622710622,0.1152228763666947,0.022237665045170257,0.05704697986577181,94.08993288590604,0.0023622428069961076,0.0065411755926701514,1.0,True,0.910175188057913,0.11592518183628356
Census Tract 902; Cook County; Illinois,6618,127384,2902,2689,2081,461100,2902,112,1180,2862,294,96,2689,201,6618,395,17,031,090200,6618,6618,127384,127384,2902,2902,2689,2689,2081,2081,461100,461100,2902,2902,112,112,1180,1180,2862,2862,294,294,96,96,2689,2689,201,201,6618,6618,395,395,17031090200,0.7738936407586463,0.13626834381551362,0.05968570565125415,0.07474897731498699,0.44521019986216404,43.89524465885596,0.010185919340616675,0.10066485738794934,1.0,True,0.8978674616015696,0.23769058452293365
Census Tract 903; Cook County; Illinois,1373,116438,561,553,446,502400,561,0,227,536,16,0,553,29,1349,131,17,031,090300,1373,1373,116438,116438,561,561,553,553,446,446,502400,502400,561,561,0,0,227,227,536,536,16,16,0,0,553,553,29,29,1349,1349,131,131,17031090300,0.8065099457504521,0.029850746268656716,0.09710896960711639,0.05244122965641953,0.40463458110516937,207.55436720142603,0.0015654098404901352,0.07829276704928231,1.0,True,0.8919914997657828,0.1774529966616944
Census Tract 1001; Cook County; Illinois,5850,114536,2379,2207,1908,464000,2379,53,586,2849,147,64,2207,32,5850,548,17,031,100100,5850,5850,114536,114536,2379,2379,2207,2207,1908,1908,464000,464000,2379,2379,53,53,586,586,2849,2849,147,147,64,64,2207,2207,32,32,5850,5850,548,548,17031100100,0.864521975532397,0.07406107406107407,0.09367521367521367,0.014499320344358859,0.2686002522068096,48.14459857082808,0.0010738352378587995,0.0363894315404785,1.0,True,0.9128641019598419,0.14872412635084956
Census Tract 1002; Cook County; Illinois,7742,94167,2916,2850,1959,413900,2916,384,1133,3284,317,0,2850,139,7553,275,17,031,100200,7742,7742,94167,94167,2916,2916,2850,2850,1959,1959,413900,413900,2916,2916,384,384,1133,1133,3284,3284,317,317,0,0,2850,2850,139,139,7553,7553,275,275,17031100200,0.6873684210526316,0.09652862362971985,0.036409373758771346,0.048771929824561404,0.5202331961591221,32.29320987654321,0.004707887257730197,0.16264132553606236,1.0,True,0.8794225922167089,0.2221275327661427
Census Tract 1003; Cook County; Illinois,6495,95441,2953,2756,1849,436000,2953,180,795,2085,191,35,2756,554,6266,518,17,031,100300,6495,6495,95441,95441,2953,2953,2756,2756,1849,1849,436000,436000,2953,2953,180,180,795,795,2085,2085,191,191,35,35,2756,2756,554,554,6266,6266,518,518,17031100300,0.670899854862119,0.10839328537170263,0.08266836897542292,0.20101596516690856,0.33017270572299356,32.3200135455469,0.021788780876604956,0.10865988537400405,1.0,True,0.8532381441313385,0.2398521087362282
Census Tract 1004; Cook County; Illinois,3350,142123,1279,1279,1189,426700,1279,25,185,1445,184,0,1279,92,3350,72,17,031,100400,3350,3350,142123,142123,1279,1279,1279,1279,1189,1189,426700,426700,1279,1279,25,25,185,185,1445,1445,184,184,0,0,1279,1279,92,92,3350,3350,72,72,17031100400,0.9296325254104769,0.1273356401384083,0.021492537313432834,0.07193119624706802,0.1641907740422205,111.12040656763097,0.00915940492004188,0.011553690120250076,1.0,True,0.9668748258167857,0.141120067823909
Census Tract 1005; Cook County; Illinois,5952,128688,2399,2389,2225,360400,2399,0,225,2792,453,19,2389,56,5952,67,17,031,100500,5952,5952,128688,128688,2399,2399,2389,2389,2225,2225,360400,360400,2399,2399,0,0,225,225,2792,2792,453,453,19,19,2389,2389,56,56,5952,5952,67,67,17031100500,0.9313520301381331,0.16905444126074498,0.011256720430107527,0.023440770196735034,0.09378907878282618,53.64235097957482,0.003962766308330565,0.006438429853655715,1.0,True,0.972020626076953,0.12372028264950141
